Frame,TimeElapsedMicros,RawDifference,RMSE,SelectedPixelDifference,PositTime
103,3403.4,31341.0,0.8081917,133110,1726717781981
104,3436.766666666667,45019.0,1.433224,236130,1726717782014
105,3470.1333333333337,52364.0,1.7026825,310590,1726717782048
106,3503.5000000000005,48184.0,1.4097203,243780,1726717782081
107,3536.8666666666672,40622.0,1.1943089,210375,1726717782114
108,3570.2333333333336,34560.0,0.95369685,120615,1726717782148
109,3603.6000000000004,30481.0,0.83691484,69105,1726717782181
110,3636.9666666666667,34603.0,0.8655573,107355,1726717782214
111,3670.3333333333335,27309.0,0.6514832,0,1726717782248
112,3703.7,22634.0,0.4469005,0,1726717782281
113,3737.0666666666666,27290.0,0.58390415,0,1726717782315
114,3770.4333333333334,33095.0,0.95629257,94350,1726717782348
115,3803.8,36490.0,0.96436846,33915,1726717782381
116,3837.166666666667,37727.0,1.0225406,35190,1726717782415
117,3870.5333333333333,37020.0,0.98059624,56100,1726717782448
118,3903.9,29989.0,0.6673296,0,1726717782481
119,3937.266666666667,20223.0,0.3366163,0,1726717782515
120,3970.6333333333337,25871.0,0.44520375,0,1726717782548
121,4004.0000000000005,34624.0,0.5558988,0,1726717782582
122,4037.3666666666672,31520.0,0.72851163,0,1726717782615
123,4070.733333333333,34750.0,0.94340503,37995,1726717782648
124,4104.099999999999,40207.0,1.253756,187935,1726717782682
125,4137.466666666666,38570.0,1.0689998,66300,1726717782715
126,4170.833333333333,34812.0,0.830094,0,1726717782748
127,4204.2,43511.0,1.2975049,222615,1726717782782
128,4237.566666666667,48413.0,1.640635,338130,1726717782815
129,4270.933333333333,43954.0,1.2977971,281010,1726717782848
130,4304.3,33707.0,0.7821474,35700,1726717782882
131,4337.666666666667,28034.0,0.7097214,44625,1726717782915
132,4371.033333333333,37452.0,1.1704617,202980,1726717782949
133,4404.4,39575.0,1.062719,150450,1726717782982
134,4437.766666666666,34207.0,0.7825926,0,1726717783015
135,4471.133333333333,24418.0,0.47599265,0,1726717783049
136,4504.5,28362.0,0.60371035,0,1726717783082
137,4537.866666666667,27384.0,0.50895625,0,1726717783115
138,4571.233333333334,26597.0,0.4493666,0,1726717783149
139,4604.6,31799.0,0.7435859,0,1726717783182
140,4637.966666666667,26744.0,0.5356375,0,1726717783215
141,4671.333333333333,23001.0,0.32737017,0,1726717783249
142,4704.7,25824.0,0.5120997,0,1726717783282
143,4738.066666666667,25853.0,0.62175983,0,1726717783316
144,4771.433333333333,23988.0,0.5431031,0,1726717783349
145,4804.8,28447.0,0.61149734,0,1726717783382
146,4838.166666666667,27272.0,0.55612713,0,1726717783416
147,4871.533333333334,25711.0,0.6039718,0,1726717783449
148,4904.900000000001,32278.0,0.7362056,0,1726717783482
149,4938.266666666667,41817.0,1.1789702,163200,1726717783516
