Frame,TimeElapsedMicros,RawDifference,RMSE,SelectedPixelDifference,PositTime
1,0,0,0,0,1726715734088
2,33.36666666666667,68545.0,1.6427982,313395,1726715734121
3,66.73333333333333,74072.0,2.051165,498015,1726715734154
4,100.10000000000001,63766.0,1.5811965,213690,1726715734188
5,133.46666666666667,94754.0,2.6072352,567120,1726715734221
6,166.83333333333334,94573.0,1.839176,362355,1726715734254
7,200.20000000000002,85261.0,2.018401,259080,1726715734288
8,233.56666666666666,78284.0,1.62036,412080,1726715734321
9,266.93333333333334,92824.0,2.3841872,553095,1726715734354
10,300.3,87860.0,2.081153,554625,1726715734388
11,333.6666666666667,106626.0,2.698858,576300,1726715734421
12,367.03333333333336,92934.0,2.815658,657135,1726715734455
13,400.40000000000003,66753.0,1.702932,312885,1726715734488
14,433.7666666666667,125829.0,3.4469619,773415,1726715734521
15,467.1333333333333,93441.0,2.6001296,481185,1726715734555
16,500.50000000000006,176268.0,4.5637927,1019490,1726715734588
17,533.8666666666667,121169.0,3.4563532,862665,1726715734621
18,567.2333333333333,172384.0,4.5402045,935085,1726715734655
19,600.6,114523.0,3.581586,702270,1726715734688
20,633.9666666666667,113286.0,3.6723135,508470,1726715734721
21,667.3333333333334,126741.0,3.9492404,673965,1726715734755
22,700.7,133391.0,3.9825716,633420,1726715734788
23,734.0666666666667,105570.0,3.3711803,457980,1726715734822
24,767.4333333333334,127794.0,3.7491918,652290,1726715734855
25,800.8000000000001,103978.0,3.074457,514590,1726715734888
26,834.1666666666667,87429.0,2.3645115,378930,1726715734922
27,867.5333333333334,71769.0,2.077655,333540,1726715734955
28,900.9000000000001,77965.0,2.2607677,323340,1726715734988
29,934.2666666666667,94635.0,2.7627397,662235,1726715735022
30,967.6333333333333,97415.0,3.0744543,491640,1726715735055
31,1001.0000000000001,131270.0,3.5892563,677535,1726715735089
32,1034.3666666666666,111985.0,3.7604303,554370,1726715735122
33,1067.7333333333333,122258.0,3.9507523,582420,1726715735155
34,1101.1,118805.0,3.8089855,626280,1726715735189
35,1134.4666666666667,110895.0,3.5523498,518670,1726715735222
36,1167.8333333333333,108660.0,3.402847,562530,1726715735255
37,1201.2,96421.0,2.8694859,441405,1726715735289
38,1234.5666666666668,83251.0,2.4396098,401880,1726715735322
39,1267.9333333333334,72928.0,2.0494409,349860,1726715735355
40,1301.3000000000002,83206.0,2.3967738,405195,1726715735389
41,1334.6666666666667,84707.0,2.426454,416925,1726715735422
42,1368.0333333333335,87755.0,2.627,561255,1726715735456
43,1401.4,102440.0,3.2600734,521475,1726715735489
44,1434.7666666666667,104589.0,3.4286425,598740,1726715735522
45,1468.1333333333334,115375.0,3.5818777,642600,1726715735556
46,1501.5,131132.0,3.9914012,622965,1726715735589
47,1534.8666666666668,117169.0,3.6620436,622965,1726715735622
